"id","golfer_id","score","course_name","created_at","updated_at"
391,6,43.00,"Robert A. Black","2010-04-13 00:00:00",NULL
392,5,45.00,"Robert A. Black","2010-04-13 00:00:00",NULL
393,4,38.00,"Robert A. Black","2010-04-13 00:00:00",NULL
394,3,45.00,"Robert A. Black","2010-04-13 00:00:00",NULL
395,2,45.00,"Robert A. Black","2010-04-13 00:00:00",NULL
396,1,39.00,"Robert A. Black","2010-04-13 00:00:00",NULL
397,10,44.00,"Robert A. Black","2010-04-20 00:00:00",NULL
398,8,43.00,"Robert A. Black","2010-04-20 00:00:00",NULL
399,7,40.00,"Robert A. Black","2010-04-20 00:00:00",NULL
400,6,43.00,"Robert A. Black","2010-04-20 00:00:00",NULL
401,4,37.00,"Robert A. Black","2010-04-20 00:00:00",NULL
402,3,46.00,"Robert A. Black","2010-04-20 00:00:00",NULL
403,2,42.00,"Robert A. Black","2010-04-20 00:00:00",NULL
404,2,41.00,"Robert A. Black","2010-04-27 00:00:00",NULL
405,3,48.00,"Robert A. Black","2010-04-27 00:00:00",NULL
406,4,40.00,"Robert A. Black","2010-04-27 00:00:00",NULL
407,12,41.00,"Robert A. Black","2010-04-27 00:00:00",NULL
